id,name,team
1845,Jonny Gomes,ATL
4881,Carlos Gomez,HOU
7287,Carlos Gonzalez,COL
5209,Alex Gordon,KC
13658,Terrance Gore,KC
5097,Anthony Gose,DET
4747,Curtis Granderson,NYM
10053,Grant Green,LAA
10243,Randal Grichuk,STL
5254,Robbie Grossman,HOU
778,Vladimir Guerrero,N/A
57,Jose Guillen,N/A
3255,Franklin Gutierrez,SEA
2636,Brandon Guyer,TB
6141,Tony Gwynn,PHI
1926,Scott Hairston,N/A
10199,Billy Hamilton,CIN
1875,Josh Hamilton,LAA
11579,Bryce Harper,WAS
1945,Corey Hart,PIT
9959,Alexander Hassan,OAK
1885,Brad Hawpe,N/A
3978,Chris Heisey,CIN
4146,Gorkys Hernandez,PIT
11476,Odubel Herrera,PHI
9284,Chris Herrmann,ARI
4940,Jason Heyward,STL
5297,Aaron Hicks,NYY
1305,Eric Hinske,N/A
6656,L.J. Hoes,HOU
1873,Matt Holliday,STL
1213,Aubrey Huff,N/A
731,Torii Hunter,MIN
607,Raul Ibanez,N/A
4922,Ender Inciarte,ARI
sa828663,Alex Jackson,SEA
9848,Austin Jackson,SEA
9632,Brett Jackson,ARI
5997,Conor Jackson,N/A
5227,Jon Jay,STL
1965,Desmond Jennings,TB
4751,Elliot Johnson,TB
1702,Reed Johnson,WAS
6368,Adam Jones,BAL
96,Andruw Jones,N/A
9767,James Jones,SEA
3353,Matt Joyce,LAA
sa549847,Aaron Judge,NYY
6962,Ryan Kalish,N/A
332,Austin Kearns,N/A
5631,Matt Kemp,SD
11038,Kevin Kiermaier,TB
1042,Mark Kotsay,N/A
2161,Jason Kubel,N/A
5384,Juan Lagares,NYM
4672,Junior Lake,BAL
5386,Andrew Lambo,OAK
98,Ryan Langerhans,LAA
2280,Matt LaPorta,N/A
4693,Fred Lewis,N/A
3501,Brent Lillibridge,CHW
4779,Rymer Liriano,SD
7215,David Lough,BAL
1260,Ryan Ludwick,CIN
10154,Donald Lutz,CIN
13130,Mikie Mahtook,TB
5588,Mitch Maier,KC
11339,Jake Marisnick,HOU
5930,Nick Markakis,ATL
9241,Starling Marte,PIT
9210,Fernando Martinez,HOU
6184,J.D. Martinez,DET
11846,Leonys Martin,TEX
7358,Michael Martinez,PHI
7316,Darin Mastroianni,PHI
3714,Joe Mather,CHC
1659,Hideki Matsui,N/A
6827,Justin Maxwell,N/A
3390,John Mayberry,NYM
5223,Cameron Maybin,SD
9847,Andrew McCutchen,PIT
1867,Darnell McDonald,CHC
3190,Nate McLouth,WAS
sa737440,Austin Meadows,PIT
11147,Tommy Medica,SD
447,Melky Mesa,NYY
6441,Lastings Milledge,N/A
5514,Jesus Montero,SEA
4885,Nyjer Morgan,N/A
3035,Michael Morse,PIT
4467,Brandon Moss,STL
11854,Steven Moya,DET
6035,David Murphy,LAA
10047,Wil Myers,SD
1658,Xavier Nady,N/A
5450,Daniel Nava,TB
9461,Thomas Neal,CLE
6400,Kirk Nieuwenhuis,NYM
sa597760,Brandon Nimmo,NYM
1766,Laynce Nix,PHI
248,Magglio Ordonez,N/A
8628,Paulo Orlando,KC
10323,Rafael Ortega,TEX
10324,Marcell Ozuna,MIA
2918,Angel Pagan,SF
11763,Kyle Parker,COL
2554,Chris Parmelee,MIN
8553,Gerardo Parra,BAL
300,Corey Patterson,N/A
5963,Xavier Paul,N/A
11899,Joc Pederson,LAD
8760,Carlos Peguero,BOS
5496,Francisco Peguero,BAL
8252,Hunter Pence,SF
2136,David Peralta,ARI
10299,Eury Perez,ATL
2557,Juan Perez,SF
2567,Bryan Petersen,MIA
6968,Denis Phipps,CIN
3751,Felix Pie,BAL
443,Juan Pierre,N/A
12434,Kevin Pillar,TOR
13367,Stephen Piscotty,STL
1095,Scott Podsednik,N/A
12907,Gregory Polanco,PIT
9256,A.J. Pollock,ARI
12797,Dalton Pompey,TOR
5305,Alex Presley,HOU
4611,Jason Pridie,N/A
6746,Josh Prince,MIL
14225,Yasiel Puig,LAD
6274,Carlos Quentin,SD
2218,Ryan Raburn,CLE
210,Manny Ramirez,N/A
9893,Colby Rasmus,HOU
